NAME,LATITUDE,LONGITUDE,TYPE
St Kevin,53.53883476,-113.455504,Ball Diamond
Braemar,53.53062049,-113.4284068,Ball Diamond
Father Lacombe,53.59026003,-113.5052954,Ball Diamond
Gallagher Park,53.53583585,-113.4707888,Ball Diamond
St Francis of Assisi,53.58917696,-113.4440578,Ball Diamond
Hillview,53.46870643,-113.4285497,Ball Diamond
George Luck,53.47390538,-113.5761134,Ball Diamond
Airway Park,53.56199659,-113.5143005,Ball Diamond
Baturyn,53.63175453,-113.5069383,Ball Diamond
Terwillegar Towne,53.45015986,-113.5745858,Ball Diamond
Spruce Avenue,53.56536558,-113.4989626,Ball Diamond
Donnan Park,53.51594306,-113.4704021,Ball Diamond
Highlands,53.56880421,-113.4348806,Ball Diamond
River Valley,53.53325197,-113.4946995,Ball Diamond
Riverdale,53.54285966,-113.4682081,Ball Diamond
Goldstick,53.54538283,-113.404199,Ball Diamond
John Fry Park,53.46016365,-113.4808774,Ball Diamond
Oxford Pk,53.61939332,-113.5473722,Ball Diamond
Mount Pleasant,53.49424082,-113.5015562,Ball Diamond
A. Blair McPherson,53.46875277,-113.3589076,Ball Diamond
Victoria Park,53.53469379,-113.5154652,Ball Diamond
Westmount,53.56129035,-113.5472738,Ball Diamond
Lawton,53.56893506,-113.4052118,Ball Diamond
Evansdale,53.60978327,-113.4826389,Ball Diamond
Kinsmen,53.52876656,-113.5082808,Ball Diamond
Stratford,53.52099937,-113.5842585,Ball Diamond
St Paul,53.53372432,-113.5714088,Ball Diamond
Woodcroft,53.56831497,-113.5610726,Ball Diamond
Dr Margaret Ann Armour,53.42536804,-113.6027582,Ball Diamond
Strathearn,53.5308564,-113.4611648,Ball Diamond
River Valley,53.53300311,-113.4953028,Ball Diamond
,53.39842434,-113.5341494,Ball Diamond
Kernohan,53.59220403,-113.3828637,Ball Diamond
Malcolm Tweedle,53.47782032,-113.4567233,Ball Diamond
John Thompson,53.59118712,-113.5557698,Ball Diamond
Bannerman,53.60556574,-113.3803758,Ball Diamond
Westridge,53.50597885,-113.6032988,Ball Diamond
King Edward,53.52154961,-113.4935485,Ball Diamond
Kildare,53.60577238,-113.4569882,Ball Diamond
Kernohan,53.59216344,-113.3820057,Ball Diamond
St Anne,53.60465946,-113.4824953,Ball Diamond
Malmo,53.48420469,-113.530386,Ball Diamond
Pollard Meadows,53.44796807,-113.4094364,Ball Diamond
Bannerman,53.60376412,-113.3804913,Ball Diamond
Johnny Bright,53.42041902,-113.5336194,Ball Diamond
Floden Pk,53.56257291,-113.4050331,Ball Diamond
Twin Parks,53.50064388,-113.3683625,Ball Diamond
John Barnett,53.60879861,-113.4499129,Ball Diamond
Casselman,53.61092977,-113.4193915,Ball Diamond
Wild Rose,53.47133094,-113.3792638,Ball Diamond
Holy Cross,53.54716119,-113.5810144,Ball Diamond
Gold Bar,53.54961337,-113.4153061,Ball Diamond
Inglewood,53.56600505,-113.5389343,Ball Diamond
Kiniski Gardens,53.47963796,-113.4072077,Ball Diamond
Kirkness,53.61278934,-113.391443,Ball Diamond
McDougall,53.55503489,-113.5062107,Ball Diamond
Elmwood Community,53.58176228,-113.455613,Ball Diamond
Castle Downs,53.61720888,-113.5239548,Ball Diamond
Weinlos,53.46132725,-113.4143725,Ball Diamond
The Hamptons,53.48964499,-113.6855354,Ball Diamond
Primrose,53.51770644,-113.6498589,Ball Diamond
Matt Berry,53.62151009,-113.4322795,Ball Diamond
Belmont,53.59474774,-113.395397,Ball Diamond
Summerside W,53.42015059,-113.4644187,Ball Diamond
Parkview,53.52540341,-113.5691466,Ball Diamond
Father Leo Green,53.60846851,-113.4562782,Ball Diamond
LY Cairns,53.48449483,-113.5033268,Ball Diamond
Dovercourt,53.57601166,-113.5609919,Ball Diamond
Glendale,53.53609647,-113.6001557,Ball Diamond
Confederation,53.48115237,-113.5186291,Ball Diamond
Dovercourt,53.57568175,-113.5609215,Ball Diamond
Westmount,53.56073422,-113.5474589,Ball Diamond
Garneau,53.52268803,-113.5147011,Ball Diamond
Scona Annex,53.50852807,-113.5010453,Ball Diamond
Belvedere,53.5945368,-113.4348651,Ball Diamond
Kaskitayo,53.44915736,-113.512152,Ball Diamond
Hudson,53.60662711,-113.5539821,Ball Diamond
Westglen,53.55407758,-113.542008,Ball Diamond
