NAME,LATITUDE,LONGITUDE,TYPE
Brittania Youngstown Community League,53.548388,-113.597827,Playground
Ritchie Park,53.513893,-113.481833,Playground
King Edward School,53.521405,-113.492582,Playground
Secord Playground,53.533431,-113.691525,Playground
Malmo Plains School,53.485078,-113.530391,Playground
Prince Charles,53.578222,-113.539786,Playground
Larkspur Dry Pond,53.478561,-113.377963,Playground
John Patrick Gillese Park,53.503418,-113.669005,Playground
Rutherford Park,53.420024,-113.535001,Playground
Glengarry Day C,53.594279,-113.47575,Playground
St. Gregory,53.552114,-113.568846,Playground
JH Picard,53.506922,-113.485153,Playground
La Perle Playground,53.53331,-113.643823,Playground
Bisset School,53.46185,-113.399427,Playground
Our Lady of Vic,53.514279,-113.594892,Playground
Mill Woods Play and Spray,53.455272,-113.436248,Playground
Cumberland Park,53.610989,-113.544352,Playground
Norwood School,53.560035,-113.48837,Playground
Windermere Tot Lot,53.447601,-113.611371,Playground
Greenfield Sch,53.472514,-113.52581,Playground
Father L. Green,53.607279,-113.457099,Playground
Terwillegar Towne Playground,53.449854,-113.584851,Playground
Giovanni Caboto,53.556266,-113.484164,Playground
Ogilvie Ridge Community,53.463286,-113.561864,Playground
Starling,53.59365,-113.655154,Playground
Belgravia Community League,53.50957,-113.530525,Playground
Cy Becker Tot Lot,53.629203,-113.401175,Playground
St. Gabriel School,53.55061,-113.42347,Playground
Giovanni Caboto,53.556424,-113.484156,Playground
Overlanders Playground,53.580988,-113.387383,Playground
Borden Park,53.561928,-113.454117,Playground
Westglen,53.554847,-113.542409,Playground
