NAME,LATITUDE,LONGITUDE,TYPE
Beacon Heights,53.57570995,-113.4125888,Soccer Field
Princeton,53.59018137,-113.4570653,Soccer Field
Blackmud Creek Park 1,53.41939483,-113.5137648,Soccer Field
Rio Terrace,53.50914514,-113.586506,Soccer Field
Glengarry,53.59658174,-113.4855207,Soccer Field
St Brendan,53.52943619,-113.4254916,Soccer Field
Westlawn,53.53367269,-113.6102743,Soccer Field
St Bernadette,53.5721736,-113.4022595,Soccer Field
McQueen,53.55527094,-113.5702191,Soccer Field
Balwin,53.59045179,-113.4510547,Soccer Field
Riverdale,53.54358399,-113.4692145,Soccer Field
Balwin,53.59097259,-113.4479798,Soccer Field
Ramsey Heights,53.48297049,-113.5807242,Soccer Field
LY Cairns,53.48378997,-113.5038105,Soccer Field
Woodcroft,53.56693457,-113.5600071,Soccer Field
Herb Link,53.62450952,-113.5322307,Soccer Field
St Jerome,53.56153799,-113.3917119,Soccer Field
Poplar Park,53.62742778,-113.4721786,Soccer Field
Rutherford,53.52333471,-113.4692738,Soccer Field
Blackmud Creek Park 1,53.41965273,-113.5149313,Soccer Field
Keheewin,53.4499688,-113.5052389,Soccer Field
St Kevin,53.53920596,-113.4550952,Soccer Field
Riverdale,53.54357505,-113.4668951,Soccer Field
St Philip,53.60819498,-113.473955,Soccer Field
Steele Heights,53.60903792,-113.4292899,Soccer Field
LaPerle E,53.53288163,-113.6339685,Soccer Field
St Basil,53.5674387,-113.497125,Soccer Field
Sweet Grass,53.46282549,-113.5276517,Soccer Field
Potter Greens,53.51735235,-113.6760087,Soccer Field
Brightview,53.54938612,-113.5887264,Soccer Field
Satoo,53.44699251,-113.4584644,Soccer Field
Weinlos,53.46133226,-113.4125245,Soccer Field
Hudson,53.60664949,-113.553213,Soccer Field
St Stanislaus,53.47564713,-113.5247651,Soccer Field
John Thompson,53.5912869,-113.5549091,Soccer Field
Good Shepherd,53.49112222,-113.6351742,Soccer Field
St Anne,53.60367775,-113.4836302,Soccer Field
Michael Strembitsky,53.41414692,-113.4638059,Soccer Field
Confederation,53.48101204,-113.5214803,Soccer Field
Carlisle Park,53.60427104,-113.5263384,Soccer Field
Idylwylde,53.52304788,-113.4538298,Soccer Field
Edm Chinese,53.50264974,-113.4659292,Soccer Field
Dunluce,53.62220192,-113.5252859,Soccer Field
St Nicholas,53.56696051,-113.3966316,Soccer Field
Crestwood,53.533735,-113.5700187,Soccer Field
DS McKenzie,53.47653672,-113.5084547,Soccer Field
St Francis Xavier,53.52941472,-113.6051834,Soccer Field
Weinlos,53.46029918,-113.4131439,Soccer Field
JA Fife,53.61278664,-113.4606476,Soccer Field
RJ Scott,53.56927167,-113.4015004,Soccer Field
Kernohan,53.59170708,-113.3823017,Soccer Field
Kirkness,53.61269366,-113.3931462,Soccer Field
Ermineskin,53.4592496,-113.5026006,Soccer Field
Belmead,53.52566343,-113.6360738,Soccer Field
Kameyosek,53.46143646,-113.4439604,Soccer Field
Holy Cross,53.54769658,-113.5813285,Soccer Field
DS McKenzie,53.47714057,-113.5073566,Soccer Field
Dunluce,53.62109211,-113.5236249,Soccer Field
Meadowlark,53.52620209,-113.5959753,Soccer Field
St Joseph,53.55573159,-113.5089516,Soccer Field
Queen Alexandra,53.51408632,-113.5060146,Soccer Field
Keheewin,53.44986104,-113.5043668,Soccer Field
Twin Parks,53.50163342,-113.3680774,Soccer Field
Leger,53.46119135,-113.5861742,Soccer Field
Lauderdale,53.58803307,-113.5014081,Soccer Field
Sifton,53.59389631,-113.4087183,Soccer Field
Westridge,53.50610161,-113.6033596,Soccer Field
Grandview,53.50000018,-113.5446874,Soccer Field
Beaumaris,53.61710156,-113.4966144,Soccer Field
Wellington,53.5920176,-113.5430886,Soccer Field
St Lucy,53.62407125,-113.5276304,Soccer Field
St Gerard,53.58134026,-113.4693379,Soccer Field
Lady Of Fatima,53.53734061,-113.5924999,Soccer Field
Oxford Pk,53.61875335,-113.5443662,Soccer Field
WP Wagner,53.49926514,-113.4540027,Soccer Field
Frere Antoine,53.46102878,-113.4511556,Soccer Field
St Augustine,53.47225789,-113.5074659,Soccer Field
Old Scona,53.51987931,-113.503176,Soccer Field
Klarvatten,53.6342143,-113.4742552,Soccer Field
Glastonbury,53.50656231,-113.6705007,Soccer Field
Sifton,53.59359053,-113.4087655,Soccer Field
Jasper Place,53.52771938,-113.6042977,Soccer Field
Terwillegar Towne,53.44841199,-113.5741326,Soccer Field
Sweet Grass,53.46262767,-113.5272097,Soccer Field
LaPerle W,53.53293979,-113.6466524,Soccer Field
St Boniface,53.47721289,-113.5366226,Soccer Field
Greenview,53.47521479,-113.4274014,Soccer Field
Austin O'Brien,53.53486652,-113.425017,Soccer Field
Belmead,53.52566465,-113.6354385,Soccer Field
Poplar Park,53.6284297,-113.4732411,Soccer Field
Sifton,53.59581899,-113.4101941,Soccer Field
JA Fife,53.61347848,-113.4622532,Soccer Field
St Andrew,53.5627284,-113.5421064,Soccer Field
Stratford,53.52104407,-113.5835594,Soccer Field
Silver Berry E,53.4576988,-113.3784244,Soccer Field
Edith Rogers,53.47595474,-113.4541582,Soccer Field
Brintnell,53.61990115,-113.4067666,Soccer Field
St Hilda,53.47418808,-113.4527406,Soccer Field
Idylwylde,53.52330047,-113.4539741,Soccer Field
Keheewin,53.45015982,-113.5007197,Soccer Field
Evansdale,53.60924336,-113.4837078,Soccer Field
Hillcrest,53.5152314,-113.6038315,Soccer Field
Laurier Heights,53.5165712,-113.5674079,Soccer Field
Homesteader,53.58672934,-113.4108358,Soccer Field
Greenview,53.4772321,-113.4275915,Soccer Field
Mount Royal,53.56869475,-113.4233124,Soccer Field
Baturyn,53.6314322,-113.5049903,Soccer Field
St Bernadette,53.57216746,-113.4016909,Soccer Field
Belvedere,53.59435404,-113.433929,Soccer Field
Vernon Barford,53.47422816,-113.5398835,Soccer Field
Lymburn,53.50699289,-113.6426366,Soccer Field
Horse Hills,53.65748644,-113.3420966,Soccer Field
Bishop Greschuk,53.63609765,-113.4825598,Soccer Field
Poplar Park,53.62724297,-113.473143,Soccer Field
